Plot_ID,Site_ID,Treatment,Bioregion,Easting,Northing,Plot bearing,Aspect_deg,Slope,Aspect,Exposure_NW,Fire_Severity_2003,Elevation,Climate,Rehab_Yr,Temp_C,Prec_mm,ANPP, SLA,  LDMC,Leaf_N,Leaf_C,Leaf_C_N,Leaf_N_P,Leaf_C_P,Leaf_B,Leaf_Na,Leaf_Mg,Leaf_P,Leaf_Ca43,Leaf_Ca44,Leaf_Mn,Leaf_K,Leaf_Fe,Leaf_Cu,Leaf_Zn66,Leaf_Zn67,Leaf_Mo,Leaf_Pb,Leaf_Sr,Exotic_Cover,Fern_Cov,Forb_Cov,GG_cov,Other_cover,Shrub_cov,Tree_cov,Exotic_R,Fern_R,Forb_R,GG_R,Other_R,Shrub_R,Tree_R,Native_R,Native_cov,Total_R,Logs,<5_adj,5_9_adj,10_19_adj,20_29_adj,30_49_adj,50_79_adj,80+_adj,HTW_cov,PA_recruit,Recruit_TG_SG,Nat_Spp_fruiting,%_spp_fruit,%_TG_SG_recruit,Euc_live_ha,Euc_dead_ha,Acac_ha,Tree_live_ha,mean_live_DBH,StdDev_live_DBH,CV_DBH,Pr_Epicormic,Av_Dist_Tree_m,SumCoverDom,Dominant_Euc,Frt_shan,shannon_div,resprout_w,wooddens_w,basal_area
561,Deadman,Reference,South Eastern Highlands,623349,6031098,160,246,29.5,Southwest,1079,Moderate,630,Warm,N/A,11.95,918.6,468.78,7.2,424.18,1.69,50.77,31.8,14.79,462.02,34.01399026,45.53042803,2108.051548,1361.86,5284.12276,5073.758971,526.8204786,9469.93986,225.7802945,12.97954528,41.33934037,32.30975328,0.110905695,10.57499971,24.58515321,0.4,0.3,1,30.5,0.2,28.2,30.8,3,1,10,4,2,18,3,38,91,41,27.5,5,3,15,28,5,0,0,0.3,0,0,15,39.47,0,55,0,1,56,20.64,9.35,0.45,0.23,2.75,55.5,Eucalyptus_robertsonii,0.842409532,1.678529997,0.67,0.55,178.5714286
562,Deadman,Reference,South Eastern Highlands,623186,6031509,160,291,7.5,West,1278,High,590,Warm,N/A,11.84,925.32,467.41,6.87,432.82,1.54,50.14,35.98,8.99,315.63,26.62523512,59.26322186,3008.176029,1939.4,6087.710619,5801.894187,939.7011668,11430.35995,169.8392174,20.61582694,48.8125731,35.55613155,0.105117324,13.69024998,20.9826224,0.7,5.1,1.6,7.4,0.2,15.3,19,6,2,10,7,2,15,3,39,48.6,45,157.5,5,5,8,5,5,3,3,0.4,1,1,18,46.15,5.56,32.5,5,27,59.5,25.15,25.81,1.03,0.62,2.975,28,Eucalyptus_robertsonii,1.277512502,2.555632133,0.73,0.56,294.7368421
563,Dogleg,Reference,South Eastern Highlands,624137,6029394,95,2,20.8,North,1204,High,785,Warm,N/A,10.81,974.57,454.18,5.85,525.11,1.36,54.16,40.64,10.57,409.41,29.87765477,80.05523597,2356.976961,1611.24,6708.419043,6308.292339,461.2585408,7110.069315,231.8849665,38.10145797,54.66805235,35.45073329,0.041932397,6.520405555,24.52347153,0.1,1,0.8,51.3,0.2,52.4,30.1,1,1,7,4,2,14,3,31,135.8,32,197.5,92,4,12,8,12,4,0,0,0,0,9,29.03,0,130.77,0,2,132.77,9.21,15.76,1.71,0.26,4.75,77,Eucalyptus_dives,0.692954708,1.727395506,0.63,0.65,215.9468439
564,Dogleg,Reference,South Eastern Highlands,624350,6029380,350,282,22.9,West,1000,Moderate,795,Warm,N/A,10.74,980.37,453.43,6.06,448.35,1.48,50.65,37.06,14.63,501.75,26.42037965,39.55832814,2897.681011,1202.36,9375.700775,9193.93388,701.6937184,13295.02697,290.1879037,9.241612875,38.85303827,29.32434833,0.042422528,1.627877771,49.11064652,0.1,1,0.5,31.2,0.3,25.7,41,1,1,5,3,3,14,5,31,99.7,32,77.5,5,10,10,10,13,3,3,0,0,3,11,35.48,15.79,52.5,7.5,40,92.5,25.31,21.4,0.85,0.48,3.225,56,Eucalyptus_robertsonii,1.173745845,2.105790155,0.75,0.56,136.5853659
565,IslandBend,Rehab,Australian Alps,636460,5982630,104,231,9.2,Southwest,1079,unburnt,1060,Cool-dry,2010,9.11,834.61,421.47,5.23,656.19,0.96,51.46,56.9,8.97,473.68,40.59962187,44.93147531,2001.105697,1103.84,13689.32457,13448.60748,543.5755883,5318.373144,95.89085885,42.78094169,50.97152549,29.9548954,0.620396738,12.49189082,46.6920249,0.5,0,0.2,0.4,0,30.8,17.1,5,0,2,4,0,7,3,16,48.5,21,45,100,20,0,0,0,0,0,0.1,0,0,9,56.25,0,120,15,1,121,2.92,1.72,0.59,0,2.75,47.4,Eucalyptus_viminalis,0.913137871,1.03942474,0.6,0.7,409.3567251
566,IslandBend,Rehab,Australian Alps,636453,5982606,121,220,10.3,Southwest,1079,unburnt,1060,Cool-dry,2010,9.15,828.97,421.63,7.27,753.73,0.92,52.21,59.27,5.49,277.79,35.80405716,25.21174451,2920.531177,2594.67,14999.52412,14987.48561,2434.442809,6741.845382,123.6789704,5.834645667,113.1769965,90.69627595,0.276465586,1.009580355,25.89702494,0.3,0,0.1,0.5,0,26.9,10.3,3,0,1,3,0,5,3,12,37.8,15,0,170,25,0,0,0,0,0,0,0,0,4,33.33,0,195,0,2,197,2.22,1.69,0.76,0,3.725,36.8,Eucalyptus_viminalis,0.196693662,1.013708833,0.55,0.71,689.3203883
567,IslandBend,Rehab,Australian Alps,636366,5982641,290,205,7.8,Southwest,1079,unburnt,1060,Cool-dry,2010,9.11,837.13,421.51,5.07,510.8,1.47,52.05,39.16,18.07,621.07,11.31572396,8.447765149,2390.99412,871.48,8275.959677,8352.060427,667.947663,6619.639483,94.79520003,3.155851122,20.19705812,14.35949615,0.07330491,0.379940738,23.50183813,2.5,0,0,1,0,0.9,43,6,0,0,5,0,3,4,12,44.9,18,442.5,1000,63,0,0,0,0,0,0.2,1,1,9,75,14.29,1062.5,93.75,62.5,1125,2.29,1.43,0.62,0,1.9,43.7,Eucalyptus_viminalis,0.707296034,1.426455705,0.75,0.57,132.5581395
568,IslandBend,Rehab,Australian Alps,636398,5982647,148,218,8.7,Southwest,1079,unburnt,1060,Cool-dry,2010,9.1,837.94,421.48,4.9,489.12,1.61,52.95,36.72,19.86,648.57,11.43517941,12.77394543,2265.566815,844.95,9365.632316,9240.998483,406.2410997,7049.720437,80.55531703,5.192985605,25.14985386,19.40539203,0.036454072,1.523132589,36.68032835,5.6,0,0.3,0.8,0,0.4,44.2,7,0,3,4,0,2,5,14,45.7,21,347.5,625,125,25,0,0,0,0,0,1,1,8,57.14,14.29,775,100,110,885,3.34,2.86,0.86,0,1.275,44.3,Eucalyptus_viminalis,0.323825057,1.51964235,0.76,0.57,128.959276
569,ValveHouse,Rehab,South Eastern Highlands,641609,5977243,292,98,17.6,East,1477,unburnt,1040,Cool-dry,2011,8.89,774.84,415.19,4.66,491.51,1.67,52.52,37.84,18.95,626.2,16.24800782,5.958974115,1845.967024,904.14,8651.872788,8524.015041,161.6734717,7318.128181,45.77536512,3.937415399,20.68297074,15.42047389,0.34563845,0.294688545,103.311144,0.7,0,0.5,3.1,0,2.3,9.1,7,0,1,3,0,6,5,15,15,22,237.5,217,42,0,0,0,0,0,0,0,1,10,66.67,9.09,258.33,0,15,273.33,3.16,2.05,0.65,0,2.65,9.6,Eucalyptus_viminalis,0.377101446,2.455512996,0.73,0.57,626.3736264
570,KaiserSandWash,Reference,South Eastern Highlands,623886,6027144,337,308,10,Northwest,477,Low ,1085,Cool-wet,N/A,9.13,1216.53,442.52,6.32,446.79,1.1,51.19,47.13,22.21,1035.34,16.13287618,19.91719508,2099.322222,529.53,5307.19474,5288.311448,948.4217644,5047.16613,88.73181153,5.105662618,19.97647053,15.96615991,0.064358263,1.892826766,69.81627981,0,0.2,0.5,61,0,14.7,50.4,0,1,5,2,0,11,3,22,126.8,22,127.5,3,5,8,5,10,15,3,0,1,2,13,59.09,14.29,47.5,0,7,54.5,40.68,25.8,0.63,0.21,3.25,61,Eucalyptus_robertsonii,0.214613378,1.464066356,0.91,0.56,111.1111111
