Column_Title,Description 1,Description 2,Description 3
obs_richness_fungi,observed number of fungal OTUs following random resampling to constant sequencing depth per sample,,
chao1_richness_fungi,estimated number of fungal OTUs using the Chao1 estimator and the resampled OTU table,,
obs_shannon_fungi,observed Shannon diversity of fungal OTUs observed following random resampling to constant sequencing depth per sample,,
obs_richness_fungi_ArbuscularMycorrhizal,observed number of OTUs assigned to arbuscular mycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,,
obs_richness_fungi_Ectomycorrhizal,observed number of OTUs assigned to ectomycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,,
obs_richness_fungi_OrchidMycorrhizal,observed number of OTUs assigned to orchid mycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,,
obs_richness_fungi_PlantPathogen,observed number of OTUs assigned to plant pathogenic fungal taxa following random resampling to constant sequencing depth per sample,,
obs_richness_fungi_WoodSaprotroph,observed number of OTUs assigned to wood saprotrophic fungal taxa following random resampling to constant sequencing depth per sample,,
chao1_richness_fungi_ArbuscularMycorrhizal,estimated number of OTUs assigned to arbuscular mycorrhizal fungal taxa using the Chao1 estimator and the resampled OTU table,,
chao1_richness_fungi_Ectomycorrhizal,estimated number of OTUs assigned to ectomycorrhizal fungal taxa using the Chao1 estimator and the resampled OTU table,,
chao1_richness_fungi_OrchidMycorrhizal,estimated number of OTUs assigned to orchid mycorrhizal fungal taxa using the Chao1 estimator and the resampled OTU table,,
chao1_richness_fungi_PlantPathogen,estimated number of OTUs assigned to plant pathogenic fungal taxa using the Chao1 estimator and the resampled OTU table,,
chao1_richness_fungi_WoodSaprotroph,estimated number of OTUs assigned to wood saprotrophic fungal taxa using the Chao1 estimator and the resampled OTU table,,
obs_shannon_fungi_ArbuscularMycorrhizal,observed Shannon diversity of OTUs assigned to arbuscular mycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,,
obs_shannon_fungi_Ectomycorrhizal,observed Shannon diversity of OTUs assigned to ectomycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,,
obs_shannon_fungi_OrchidMycorrhizal,observed Shannon diversity of OTUs assigned to orchid mycorrhizal fungal taxa following random resampling to constant sequencing depth per sample,,
obs_shannon_fungi_PlantPathogen,observed Shannon diversity of OTUs assigned to plant pathogenic fungal taxa following random resampling to constant sequencing depth per sample,,
obs_shannon_fungi_WoodSaprotroph,observed Shannon diversity of OTUs assigned to wood saprotrophic fungal taxa following random resampling to constant sequencing depth per sample,,
relabund_fungi_ArbuscularMycorrhizal,proportion of ITS2 sequence reads ('reads.fungi') assigned to arbuscular mycorrhizal fungal taxa,,
relabund_fungi_Ectomycorrhizal,proportion of ITS2 sequence reads ('reads.fungi') assigned to ectomycorrhizal fungal taxa,,
relabund_fungi_OrchidMycorrhizal,proportion of ITS2 sequence reads ('reads.fungi') assigned to orchid mycorrhizal fungal taxa,,
relabund_fungi_PlantPathogen,proportion of ITS2 sequence reads ('reads.fungi') assigned to plant pathogenic fungal taxa,,
relabund_fungi_WoodSaprotroph,proportion of ITS2 sequence reads ('reads.fungi') assigned to wood saprotrophic fungal taxa,,
reads.bacteria,number of 16S sequence reads passing quality checks and assigned to kingdom Bacteria,,
obs_richness_bacteria,observed number of bacterial OTUs following random resampling to constant sequencing depth per sample,,
chao1_richness_bacteria,estimated number of bacterial OTUs using the Chao1 estimator and the resampled OTU table,,
obs_shannon_bacteria,observed Shannon diversity of bacterial OTUs observed following random resampling to constant sequencing depth per sample,,
obs_richness_bacteria_copiotrophic,observed number of OTUs assigned to copiotrophic bacterial taxa following random resampling to constant sequencing depth per sample,,
obs_richness_bacteria_oligotrophic,observed number of OTUs assigned to oligotrophic bacterial taxa following random resampling to constant sequencing depth per sample,,
chao1_richness_bacteria_copiotrophic,estimated number of OTUs assigned to copiotrophic bacterial taxa using the Chao1 estimator and the resampled OTU table,,
chao1_richness_bacteria_oligotrophic,estimated number of OTUs assigned to oligotrophic bacterial taxa using the Chao1 estimator and the resampled OTU table,,
obs_shannon_bacteria_copiotrophic,observed Shannon diversity of OTUs assigned to copiotrophic bacterial taxa following random resampling to constant sequencing depth per sample,,
obs_shannon_bacteria_oligotrophic,observed Shannon diversity of OTUs assigned to oligotrophic bacterial taxa following random resampling to constant sequencing depth per sample,,
relabund_bacteria_copiotrophic,proportion of 16S sequence reads ('reads.bacteria') assigned to copiotrophic bacterial taxa,,
relabund_bacteria_oligotrophic,proportion of 16S sequence reads ('reads.bacteria') assigned to oligotrophic bacterial taxa,,
moisture_%,"sample moisture %, from enzyme analyses",,
