Sample_id,Plot_id,Site_id,Survey_date,Treatment,Patch,PCT_Number,PCT_Name,Establishment,Total_litter_ex_dung,Sticks_bark,Leaves_overstorey,Leaves_understorey,Coarse_frass,Fine_frass,Seeds_fruits,Woodchip,Dung,MIR_HUM%,MIR_POC%,MIR_ROC%,MIR_TOC%,MIR_TN%,Pmg/Kg,pH,ECmicroS/cm,PLFA_Total_biomass,PLFA_Gram+bacteria,PLFA_Gram-bacteria ,PLFA_General_bacteria,PLFA_Actinobacteria,PLFA_Fungi,PLFA_Protozoa,PLFA_Arbuscular_mycorrhizae,PLFA_Fungi:bacteria,Enzymes_AB,Enzymes_BG,Enzymes_CB,Enzymes_NAG,Enzymes_PHO,Enzymes_XYL,Enzymes_LAP,Resp_Water,Resp_Fructose,Resp_Glucose,Resp_Maltose,Resp_Raffinose,Resp_Sucrose,Resp_Threonine,Resp_Xylose,reads_fungi,obs_richness_fungi,chao1_richness_fungi,obs_shannon_fungi,obs_richness_fungi_ArbuscularMycorrhizal,obs_richness_fungi_Ectomycorrhizal,obs_richness_fungi_PlantPathogen,obs_richness_fungi_WoodSaprotroph,obs_richness_fungi_OrchidMycorrhizal,chao1_richness_fungi_ArbuscularMycorrhizal,chao1_richness_fungi_Ectomycorrhizal,chao1_richness_fungi_PlantPathogen,chao1_richness_fungi_WoodSaprotroph,chao1_richness_fungi_OrchidMycorrhizal,obs_shannon_fungi_ArbuscularMycorrhizal,obs_shannon_fungi_Ectomycorrhizal,obs_shannon_fungi_PlantPathogen,obs_shannon_fungi_WoodSaprotroph,obs_shannon_fungi_OrchidMycorrhizal,relabund_fungi_ArbuscularMycorrhizal,relabund_fungi_Ectomycorrhizal,relabund_fungi_PlantPathogen,relabund_fungi_WoodSaprotroph,relabund_fungi_OrchidMycorrhizal,reads_bacteria,obs_richness_bacteria,chao1_richness_bacteria,obs_shannon_bacteria,obs_richness_bacteria_copiotrophic,obs_richness_bacteria_oligotrophic,chao1_richness_bacteria_copiotrophic,chao1_richness_bacteria_oligotrophic,obs_shannon_bacteria_copiotrophic,obs_shannon_bacteria_oligotrophic,relabund_bacteria_copiotrophic,relabund_bacteria_oligotrophic
33O,33,Mangoola Mine,14/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2011,159.8,16,22,1,48,72,0.8,0,1.2,1.03,0.69,0.77,2.56,0.14,22.63,7.39,105.70,15.30,2.62,4.02,2.15,1.27,0.41,0.11,0.41,0.08,66.8,280.3,73.9,92.5,232.9,80.1,130.7,0.326,0.314,0.398,0.447,0.450,0.452,0.344,0.300,25898,593,805.10,4.87,6,13,36,6,1,6.67,25.25,52.90,8.00,1.00,1.337,1.070,1.940,0.495,0.000,0.002,0.047,0.052,0.021,0.001,45470,2252,4094.25,6.97,889,375,1553.91,702.36,6.08,4.84,0.45,0.20
33T,33,Mangoola Mine,14/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2011,331.3,53,24,2,77,173,2.3,0,2,1.23,0.84,0.79,3.06,0.17,25.27,7.39,140.50,14.40,2.34,3.72,2.07,1.07,0.64,0.25,0.36,0.14,43.4,283.2,47.7,70.5,313.8,38.2,47.4,0.282,0.330,0.369,0.383,0.380,0.387,0.347,0.261,25782,594,760.05,4.56,10,12,29,9,3,14.50,22.00,47.00,9.50,3.00,1.813,1.349,2.581,1.454,1.030,0.005,0.049,0.019,0.021,0.001,37132,2294,4095.63,7.04,946,393,1549.75,687.60,6.19,5.08,0.45,0.19
34O,34,Mangoola Mine,14/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2012,129.6,13,10,1,41,61,3.6,0,3.6,1.08,0.49,0.61,2.32,0.13,18.33,5.95,120.20,13.04,1.99,3.53,1.91,0.80,1.09,0.09,0.25,0.26,60.8,314.2,82.5,110.6,241.2,55.2,66.6,0.289,0.343,0.375,0.397,0.485,0.505,0.313,0.186,36594,571,830.41,4.40,11,4,34,17,0,27.00,6.00,82.17,35.00,0.00,2.303,0.323,2.698,1.025,0.000,0.002,0.007,0.024,0.156,0.000,30159,2194,4156.51,6.90,844,312,1490.71,625.48,5.92,4.85,0.47,0.15
34T,34,Mangoola Mine,14/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2012,640,50,76,1,244,257,10,2,3.1,1.15,0.53,0.60,2.37,0.12,20.09,5.87,248.00,16.01,2.56,4.22,2.43,1.10,1.26,0.13,0.32,0.24,29.6,186.2,35.0,97.6,141.6,29.1,50.9,0.389,0.550,0.766,0.634,0.685,0.768,0.478,0.532,22747,729,1026.29,5.21,12,13,45,12,1,28.00,31.00,48.85,18.25,1.00,2.370,1.591,2.320,1.993,0.000,0.002,0.030,0.075,0.006,0.000,33718,2267,4227.76,7.04,932,300,1677.55,540.04,6.08,5.11,0.49,0.13
35O,35,Mangoola Mine,14/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2012,131.4,22,6,1,32,69,1.4,0,0.7,0.97,0.55,0.58,2.28,0.14,18.41,6.44,112.20,13.69,2.47,3.50,2.05,1.06,0.50,0.25,0.27,0.11,9.4,63.0,10.8,16.5,46.0,12.7,15.0,0.347,0.662,0.629,0.708,0.562,0.642,0.464,0.419,25652,602,717.28,5.04,10,5,25,12,1,10.25,7.00,26.33,12.25,1.00,1.333,1.184,2.733,1.328,0.000,0.020,0.003,0.022,0.029,0.001,51111,2199,3757.23,6.98,868,333,1429.78,532.89,5.97,5.22,0.50,0.14
35T,35,Mangoola Mine,14/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2012,297,36,42,2,115,96,6,0,0.1,0.85,0.41,0.46,1.89,0.12,41.29,6.37,85.00,13.02,1.95,3.25,1.84,0.89,0.77,0.26,0.35,0.19,60.4,301.9,71.5,103.3,156.0,57.8,30.9,0.360,0.731,0.756,0.777,0.713,0.608,0.466,0.268,31093,688,876.28,5.16,8,14,34,13,0,10.25,16.67,43.00,15.67,0.00,1.669,0.863,3.026,0.422,0.000,0.003,0.024,0.018,0.071,0.000,34913,2151,3727.44,6.97,889,304,1520.85,442.06,6.10,4.98,0.49,0.15
45O,45,Mt Thorley Warkworth,27/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2010,214.6,29,35,0.5,105,45,0.1,0,0.2,1.33,0.91,0.80,2.98,0.18,8.65,6.51,82.20,16.21,2.65,4.26,2.40,1.20,0.65,0.42,0.41,0.13,11.2,82.7,21.1,16.7,120.6,13.4,45.9,0.320,0.319,0.380,0.413,0.454,0.439,0.396,0.324,32048,756,1000.82,4.92,4,36,28,9,6,4.50,48.50,44.90,13.50,8.25,1.280,2.394,2.332,1.529,0.884,0.001,0.073,0.017,0.006,0.004,29793,2047,3350.19,6.81,753,354,1238.27,579.94,5.94,4.99,0.38,0.20
45T,45,Mt Thorley Warkworth,27/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2010,340,57,66,3,158,48,8,0,0,1.47,1.11,0.86,3.41,0.21,7.37,6.72,76.70,12.85,2.10,3.19,1.89,1.06,0.50,0.15,0.29,0.13,94.5,454.1,114.3,148.9,541.7,94.5,176.3,0.280,0.268,0.297,0.317,0.337,0.334,0.314,0.231,26862,689,925.07,4.88,6,20,33,11,1,10.50,40.25,65.00,12.13,1.00,1.105,1.442,2.718,2.214,0.000,0.003,0.083,0.025,0.003,0.006,34364,2137,3797.41,6.96,784,345,1322.68,564.70,5.95,5.09,0.41,0.18
46O,46,Mt Thorley Warkworth,27/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2009,78.5,24,7,1,30,16,0.5,0,0.9,1.13,0.69,0.63,2.35,0.14,5.65,6.56,53.40,14.83,2.68,3.58,2.35,1.19,0.57,0.14,0.30,0.12,13.1,79.1,19.5,31.2,133.6,14.6,21.2,0.335,0.337,0.370,0.366,0.340,0.375,0.364,0.264,21574,736,1129.68,4.89,6,26,23,13,2,10.00,27.50,72.00,25.50,2.00,1.733,2.430,2.774,2.033,0.673,0.001,0.136,0.007,0.009,0.001,30158,2107,3349.64,6.97,754,357,1191.02,513.03,5.95,5.12,0.42,0.19
46T,46,Mt Thorley Warkworth,27/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2009,469,107,32,3,201,116,0,10,2.7,1.29,0.86,0.74,3.00,0.19,6.88,6.47,80.30,12.55,2.23,3.07,1.95,0.95,0.44,0.12,0.22,0.11,28.3,186.8,51.6,85.2,273.3,27.5,33.4,0.386,0.388,0.438,0.415,0.439,0.473,0.437,0.270,36347,632,875.60,4.89,2,20,20,11,3,3.00,22.67,33.50,12.00,3.00,0.693,2.118,2.278,1.784,0.831,0.000,0.240,0.011,0.010,0.001,25515,2022,3288.29,6.88,730,317,1098.72,520.88,5.88,4.99,0.43,0.17
47O,47,Mt Thorley Warkworth,27/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2015,31.7,1,0.8,24,0.9,5,0,0,0.4,1.68,2.53,1.37,5.30,0.26,95.23,8.39,113.60,15.18,1.96,4.29,2.18,0.92,0.63,0.43,0.57,0.15,37.7,132.1,30.0,35.1,48.8,37.0,191.8,0.524,0.530,0.593,0.624,0.657,0.641,0.600,0.466,23825,453,579.18,4.41,30,5,35,7,0,37.14,8.00,51.90,8.00,0.00,2.923,0.896,2.608,0.687,0.000,0.013,0.005,0.047,0.013,0.000,31793,2130,3696.88,7.00,718,266,1267.04,415.51,5.86,4.90,0.39,0.16
47T,47,Mt Thorley Warkworth,27/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2015,25,3,11,5,3,3,0,0,0,2.02,2.54,1.49,6.03,0.33,96.84,8.86,152.80,12.19,1.67,3.29,1.53,0.80,0.60,0.32,0.58,0.16,74.5,219.6,61.3,58.0,115.7,52.9,463.8,0.516,0.518,0.596,0.621,0.659,0.660,0.588,0.518,24622,483,670.90,4.37,15,5,31,3,0,18.60,5.17,35.90,4.00,0.00,2.183,0.206,2.480,0.096,0.000,0.006,0.022,0.037,0.014,0.000,41838,2012,3090.34,6.93,686,367,1023.82,561.46,5.82,5.17,0.39,0.21
48O,48,Mt Thorley Warkworth,28/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2015,4.5,0.3,0.1,2,1,1,0.1,0,0,0.65,1.41,0.90,2.58,0.10,64.07,8.73,131.30,6.48,0.86,1.43,0.80,0.16,0.19,0.19,0.17,0.12,5.7,15.7,1.9,2.9,7.7,3.7,25.9,0.289,0.287,0.318,0.334,0.338,0.328,0.310,0.262,35240,276,343.54,3.42,9,3,31,1,0,15.25,4.00,45.40,1.00,0.00,1.742,0.600,0.940,0.000,0.000,0.003,0.001,0.182,0.001,0.000,31805,1690,2623.79,6.66,667,179,947.13,305.00,5.81,4.20,0.43,0.12
48T,48,Mt Thorley Warkworth,28/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2015,41,14,17,2,8,0,0,0,1.5,1.13,1.80,1.10,3.84,0.18,93.47,8.48,77.50,7.88,1.12,1.86,1.01,0.15,0.40,0.21,0.26,0.18,16.9,56.0,10.6,12.8,31.3,10.3,66.1,0.255,0.255,0.274,0.282,0.285,0.281,0.273,0.237,24060,503,757.30,4.14,6,25,26,6,0,6.17,33.17,34.33,8.00,0.00,0.688,1.500,2.540,1.347,0.000,0.008,0.312,0.017,0.003,0.000,42553,1754,3079.74,6.52,573,302,1031.91,540.59,5.41,4.95,0.41,0.17
49O,49,Mt Thorley Warkworth,28/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2011,99,9,6,27,35,22,0,0,0,1.31,0.81,0.71,2.91,0.19,11.01,7.06,130.40,14.71,2.39,3.79,2.26,1.28,0.61,0.11,0.37,0.13,73.7,285.6,42.9,296.1,601.9,90.7,1244.1,0.331,0.343,0.398,0.349,0.419,0.405,0.390,0.331,24166,591,854.12,4.63,14,11,38,5,1,16.00,15.50,54.90,5.00,1.00,2.071,1.329,2.889,1.306,0.000,0.010,0.219,0.028,0.027,0.002,54384,2133,3547.25,7.06,778,339,1311.17,525.32,6.03,5.24,0.43,0.18
49T,49,Mt Thorley Warkworth,28/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2011,367,55,37,25,144,100,6,0,0,1.30,0.92,0.75,3.07,0.19,7.47,5.99,139.80,16.56,2.53,4.72,2.75,1.22,1.22,0.08,0.32,0.22,34.1,224.1,59.8,78.1,292.7,30.6,47.6,0.616,0.533,0.652,0.730,0.741,0.647,0.660,0.484,29733,870,1198.05,5.00,4,26,37,18,6,8.50,38.50,62.00,50.00,7.00,1.332,1.739,2.815,2.341,1.608,0.001,0.184,0.016,0.012,0.002,31209,2241,4227.61,7.05,833,342,1427.77,638.35,6.04,5.10,0.44,0.16
50O,50,Mt Thorley Warkworth,28/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2014,30.9,6,0.8,0.7,8,13,0,2.4,1.3,1.50,1.58,1.16,4.11,0.24,49.34,8.04,136.10,16.65,2.66,4.36,2.44,0.35,0.62,0.36,0.57,0.12,46.4,296.0,107.1,162.9,426.7,57.5,138.6,0.588,0.567,0.674,0.702,0.716,0.693,0.653,0.446,26872,714,1024.56,5.09,27,11,39,9,1,33.75,19.00,41.04,13.50,1.00,2.482,1.652,1.567,1.059,0.000,0.021,0.016,0.137,0.011,0.003,30944,2199,3624.25,7.03,760,345,1305.72,489.23,6.01,5.01,0.39,0.20
50T,50,Mt Thorley Warkworth,28/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2014,70.7,12,9,5,20,24,0.7,0,0,1.70,1.60,1.17,4.79,0.30,46.15,7.24,90.00,20.52,3.70,5.38,3.12,1.67,0.68,0.37,0.72,0.10,114.4,462.6,148.4,136.6,489.5,83.8,166.0,0.589,0.546,0.651,0.631,0.714,0.681,0.655,0.551,24219,665,873.04,5.05,7,18,37,8,0,11.50,22.50,41.55,12.00,0.00,1.517,1.703,1.772,0.708,0.000,0.004,0.152,0.096,0.013,0.000,23016,2379,4004.15,7.17,886,399,1390.10,564.46,6.17,5.43,0.44,0.17
59O,59,Mt Thorley Warkworth,3/04/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2011,36,1,7,6,10,11,1,0,0,1.06,0.96,0.81,2.80,0.16,7.62,7.50,52.00,14.44,2.18,3.62,2.05,1.17,0.63,0.11,0.46,0.15,30.8,126.5,38.4,11.3,70.6,31.3,80.6,0.452,0.446,0.514,0.541,0.549,0.549,0.507,0.404,32736,616,776.21,4.86,13,12,31,8,0,15.25,13.50,43.50,12.00,0.00,2.164,2.378,2.720,1.092,0.000,0.006,0.003,0.025,0.008,0.000,39988,1916,3043.68,6.81,599,327,982.25,451.97,5.67,4.85,0.35,0.24
59T,59,Mt Thorley Warkworth,3/04/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2011,169.7,10,8,14,70,63,4.2,0.5,0.2,1.03,0.96,0.70,2.71,0.17,6.82,7.87,67.40,15.39,2.34,3.77,2.20,1.18,0.62,0.42,0.47,0.13,100.7,376.6,164.3,88.6,290.3,141.5,261.1,0.452,0.430,0.503,0.533,0.552,0.546,0.508,0.398,26941,593,777.05,4.99,10,7,30,4,1,12.67,17.00,46.67,4.00,1.00,1.621,0.259,2.377,0.757,0.000,0.004,0.032,0.045,0.006,0.005,30875,2094,3658.42,6.94,766,331,1326.06,475.16,5.91,5.14,0.42,0.18
60O,60,Mt Thorley Warkworth,3/04/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2011,36.3,4,3,3,11,14,1.3,0,2.7,1.23,1.06,0.74,2.97,0.18,9.57,7.52,79.80,14.81,2.22,3.87,2.02,1.11,0.57,0.36,0.46,0.13,32.0,162.2,40.2,21.5,82.5,44.5,118.6,0.434,0.432,0.502,0.531,0.551,0.553,0.507,0.380,35162,728,940.07,5.23,22,13,39,9,2,46.50,23.00,67.17,15.25,2.50,2.532,1.444,2.646,0.956,0.637,0.006,0.075,0.044,0.007,0.000,40307,1869,2645.36,6.92,709,212,1011.35,306.30,5.91,4.69,0.42,0.13
60T,60,Mt Thorley Warkworth,3/04/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2011,192.7,18,14,4,70,75,8.6,3.1,0,1.21,1.05,0.77,2.97,0.19,9.13,7.73,78.80,15.35,2.26,3.94,2.08,1.22,0.58,0.18,0.50,0.12,101.3,379.1,165.4,89.2,292.2,142.4,262.8,0.405,0.388,0.434,0.461,0.483,0.490,0.452,0.371,36907,764,1040.48,5.06,9,26,43,15,2,10.00,29.50,57.08,31.00,2.00,1.901,1.221,2.616,1.534,0.615,0.004,0.130,0.047,0.013,0.004,34943,2120,3458.17,7.03,720,364,1131.85,588.91,5.95,5.26,0.38,0.20
64O,64,United,5/04/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,1992,528.2,178,43,0,218,86,3.2,0,0.2,0.99,0.58,0.68,2.52,0.14,5.96,6.11,46.50,14.36,2.40,4.42,2.17,0.94,0.45,0.08,0.31,0.09,9.7,127.1,39.1,41.8,145.1,19.0,54.3,0.343,0.340,0.362,0.382,0.383,0.363,0.343,0.318,30050,575,729.67,4.85,2,18,8,13,1,3.00,19.13,8.67,13.33,1.00,0.693,1.796,0.987,1.888,0.000,0.000,0.130,0.007,0.009,0.001,44466,2119,3746.03,6.82,634,455,1056.50,750.74,5.72,5.24,0.33,0.25
64T,64,United,5/04/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,1992,479.1,147,50,0,141,103,3.1,35,0.1,0.95,0.51,0.69,2.38,0.11,5.68,6.06,57.70,12.35,2.17,3.60,1.66,0.80,0.37,0.18,0.27,0.08,2.9,123.6,30.0,59.2,160.0,25.8,27.2,0.343,0.366,0.383,0.412,0.431,0.432,0.407,0.309,51967,650,955.64,4.90,1,19,12,12,2,1.00,20.00,16.17,27.00,2.00,0.000,2.169,1.966,1.761,0.515,0.000,0.231,0.005,0.008,0.002,38523,2123,3894.50,6.76,737,403,1231.23,684.90,5.47,5.17,0.44,0.22
73O,73,Mt Owen,8/04/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2010,320.9,26,16,114,50,113,1.9,0,2.2,1.62,1.30,1.03,3.87,0.22,10.89,6.95,88.40,11.50,1.95,2.93,1.56,0.92,0.25,0.10,0.37,0.06,49.9,308.0,55.1,107.8,422.4,67.5,16.5,0.402,0.593,0.590,0.586,0.658,0.576,0.486,0.483,22228,699,868.24,5.37,14,5,36,10,3,16.00,9.50,46.89,14.50,3.00,1.959,1.494,2.196,1.418,0.882,0.009,0.001,0.032,0.030,0.002,32351,2286,4111.46,7.05,825,421,1447.45,760.46,6.05,5.13,0.40,0.24
73T,73,Mt Owen,8/04/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2010,466.3,167,33,2,163,92,9.3,0,0.9,1.60,1.49,1.05,3.87,0.22,7.89,7.24,65.60,15.19,2.47,4.13,2.06,1.30,0.55,0.11,0.42,0.11,73.7,208.5,34.2,61.4,187.9,29.3,23.6,0.482,0.760,1.134,0.996,1.116,1.105,0.700,0.392,21931,739,1057.19,5.01,14,10,38,13,2,30.00,11.50,66.90,25.50,2.00,2.258,0.847,3.064,0.364,0.325,0.004,0.037,0.019,0.181,0.001,32297,2334,4290.45,7.08,845,423,1458.28,711.92,6.05,5.31,0.42,0.21
81O,81,Bulga,13/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2014,5.5,1,1,2,1,0.5,0,0,0,0.44,0.27,0.45,1.34,0.07,4.09,7.95,61.60,7.48,1.03,1.63,0.90,0.64,0.29,0.08,0.23,0.14,74.5,166.8,48.6,81.5,82.7,52.0,167.5,0.248,0.225,0.257,0.279,0.285,0.283,0.271,0.216,22259,523,668.14,4.50,31,13,34,11,0,35.08,25.25,58.50,13.25,0.00,3.056,0.146,1.907,2.056,0.000,0.017,0.166,0.113,0.006,0.000,32859,2116,3368.96,7.00,716,321,1138.92,459.07,5.91,4.98,0.37,0.19
81T,81,Bulga,13/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2014,32.1,8,13,4,5,2,0.1,0,1.7,0.60,0.34,0.51,1.70,0.09,4.54,7.25,171.80,11.65,1.60,2.67,1.57,0.96,0.75,0.15,0.40,0.24,19.4,66.6,13.4,13.9,70.0,16.8,135.2,0.209,0.203,0.214,0.222,0.227,0.224,0.220,0.199,29665,641,879.29,4.58,9,17,46,17,1,13.00,19.50,74.13,30.50,1.00,1.761,0.590,2.713,1.890,0.000,0.003,0.153,0.059,0.011,0.024,38963,2119,3870.48,6.99,705,314,1313.16,483.48,5.84,5.03,0.37,0.19
82O,82,Bulga,13/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2015,8.4,1,0.3,6,0.1,1,0,0,4.5,0.47,0.39,0.52,1.44,0.08,3.26,8.45,205.00,7.85,1.04,1.70,0.91,0.61,0.41,0.12,0.25,0.20,93.5,430.7,123.6,177.6,415.2,93.7,169.8,0.200,0.191,0.221,0.219,0.231,0.233,0.223,0.208,21433,443,594.14,4.02,21,6,32,6,1,25.90,9.00,48.90,7.00,1.00,2.829,0.290,1.746,1.297,0.000,0.006,0.260,0.072,0.009,0.000,42068,2073,3645.84,6.92,720,318,1208.19,523.34,5.87,5.00,0.39,0.19
82T,82,Bulga,13/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2015,36,2,13,8,8,5,0,0,0,0.77,0.65,0.77,2.23,0.13,25.44,7.33,512.00,15.89,2.41,3.87,1.95,1.36,0.73,0.41,0.59,0.15,32.1,97.9,15.5,15.5,52.4,21.8,212.5,0.223,0.243,0.312,0.271,0.424,0.538,0.315,0.228,21901,603,801.65,4.76,30,15,32,3,1,40.00,39.50,38.75,3.00,1.00,3.078,0.929,2.311,0.300,0.000,0.012,0.060,0.080,0.011,0.004,42852,2015,3423.76,6.92,750,268,1339.07,394.08,5.91,5.01,0.42,0.14
83O,83,Bulga,13/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2015,11.5,9,0,1,1,0.5,0,0,0.3,0.67,0.39,0.61,1.91,0.12,7.20,6.76,294.00,9.92,1.58,2.48,1.40,0.85,0.34,0.08,0.23,0.11,36.1,274.8,59.6,154.2,359.8,45.7,51.6,0.271,0.311,0.315,0.449,0.450,0.418,0.371,0.328,20716,753,902.82,5.27,33,18,38,10,1,35.08,18.13,42.57,10.50,1.00,3.117,0.973,2.620,1.713,0.000,0.019,0.117,0.059,0.018,0.000,37597,2274,3960.95,7.09,820,377,1396.47,600.70,6.05,5.32,0.42,0.17
83T,83,Bulga,13/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2015,31.6,9,9,6,5,2,0.6,0,0,0.91,0.55,0.74,2.30,0.15,9.90,6.39,567.00,14.39,2.16,3.65,2.25,1.07,1.04,0.29,0.33,0.24,37.4,108.5,29.4,120.9,264.9,38.8,147.4,0.321,0.362,0.414,0.394,0.626,0.774,0.507,0.280,47298,569,765.23,4.11,15,17,26,13,2,27.50,18.60,46.17,16.13,3.00,2.452,1.423,2.799,1.414,0.693,0.003,0.455,0.011,0.010,0.000,81204,2310,4451.77,7.08,921,352,1773.34,608.00,6.16,5.21,0.47,0.15
88O,88,Bulga,15/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2013,128.8,15,1,10,16,86,0.8,0,4.3,2.70,2.91,1.97,8.33,0.50,264.10,7.65,192.40,15.61,2.88,4.03,2.14,1.43,0.41,0.13,0.51,0.08,58.4,220.7,67.5,63.3,118.3,43.8,335.4,0.444,0.543,0.644,0.657,0.677,0.647,0.548,0.360,30306,434,553.01,4.21,6,0,27,1,0,12.00,0.00,51.00,1.00,0.00,1.594,0.000,1.813,0.000,0.000,0.001,0.000,0.080,0.017,0.000,33174,1920,2982.86,6.76,774,260,1155.49,405.92,5.85,4.34,0.47,0.19
88T,88,Bulga,15/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2013,151.2,24,10,4,30,80,3.2,0,9.3,4.23,4.97,2.68,12.78,0.75,476.89,7.69,253.00,9.39,1.46,2.53,1.18,0.67,0.22,0.21,0.28,0.07,55.3,164.6,33.7,37.7,133.2,36.4,419.5,0.519,0.605,0.732,0.761,0.771,0.755,0.640,0.471,29752,443,524.06,4.43,4,2,35,5,0,7.00,2.00,39.50,5.25,0.00,1.154,0.342,1.869,1.401,0.000,0.001,0.007,0.083,0.002,0.000,31412,1891,2787.42,6.82,780,237,1089.49,325.41,5.86,4.74,0.50,0.13
89O,89,Bulga,15/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2013,46,0,0.7,3,13,29,0.3,0,1.7,1.04,0.83,0.80,2.89,0.18,42.60,8.24,89.00,10.67,1.41,2.59,1.33,0.88,0.54,0.17,0.39,0.19,84.0,209.6,53.6,46.3,66.2,81.4,323.9,0.446,0.468,0.556,0.531,0.564,0.522,0.507,0.337,32055,515,645.02,4.37,15,7,33,7,0,21.13,7.50,39.13,9.00,0.00,2.464,1.757,2.345,1.499,0.000,0.004,0.004,0.074,0.005,0.000,35269,2260,4212.91,7.06,829,393,1513.03,721.32,6.02,5.20,0.41,0.22
89T,89,Bulga,15/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2013,237.5,50,21,34,58,74,0.5,0,2.5,1.79,1.69,1.23,4.91,0.31,76.74,7.77,98.80,17.78,2.56,5.19,2.37,1.31,0.65,0.33,0.85,0.11,72.3,267.9,94.2,82.6,71.2,59.6,369.9,0.465,0.451,0.583,0.645,0.680,0.541,0.597,0.421,28646,648,844.01,5.18,8,19,45,10,1,8.17,21.00,59.08,12.25,1.00,1.748,1.529,2.399,1.745,0.000,0.004,0.047,0.122,0.008,0.000,39236,2153,3714.74,6.99,842,303,1479.55,470.23,6.00,5.13,0.43,0.15
90O,90,Bulga,15/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2013,34.4,10,2,1,6,15,0.4,0,5.3,2.75,2.57,1.97,8.03,0.46,234.38,7.84,183.70,14.53,2.13,4.04,1.85,1.03,0.49,0.17,0.56,0.10,21.3,74.2,16.1,21.2,40.1,19.6,211.6,0.449,0.483,0.581,0.645,0.661,0.640,0.550,0.262,25060,581,789.93,4.79,21,11,32,5,0,34.50,11.25,46.40,6.00,0.00,2.540,2.102,1.969,0.659,0.000,0.008,0.008,0.091,0.004,0.000,43907,2137,3765.57,7.01,815,300,1346.56,584.44,6.05,4.94,0.44,0.17
90T,90,Bulga,15/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2013,37.4,12,10,5,6,0,4.4,0,2.5,2.34,2.13,1.99,6.98,0.39,197.09,8.13,147.90,16.10,2.39,4.79,1.91,1.23,0.57,0.26,0.60,0.11,48.0,136.2,35.5,24.1,68.7,45.2,320.6,0.379,0.416,0.490,0.505,0.508,0.496,0.433,0.352,27515,512,654.31,4.58,14,6,50,9,0,20.25,6.50,78.13,11.25,0.00,2.373,0.422,2.729,1.862,0.000,0.006,0.156,0.072,0.004,0.000,42619,2095,3471.46,6.98,827,286,1333.57,440.13,6.08,4.73,0.44,0.19
