Sample_id,Plot_id,Site_id,Survey_date,Treatment,Patch,PCT_Number,PCT_Name,Establishment,Total_litter_ex_dung,Sticks_bark,Leaves_overstorey,Leaves_understorey,Coarse_frass,Fine_frass,Seeds_fruits,Woodchip,Dung,MIR_HUM%,MIR_POC%,MIR_ROC%,MIR_TOC%,MIR_TN%,Pmg/Kg,pH,ECmicroS/cm,PLFA_Total_biomass,PLFA_Gram+bacteria,PLFA_Gram-bacteria ,PLFA_General_bacteria,PLFA_Actinobacteria,PLFA_Fungi,PLFA_Protozoa,PLFA_Arbuscular_mycorrhizae,PLFA_Fungi:bacteria,Enzymes_AB,Enzymes_BG,Enzymes_CB,Enzymes_NAG,Enzymes_PHO,Enzymes_XYL,Enzymes_LAP,Resp_Water,Resp_Fructose,Resp_Glucose,Resp_Maltose,Resp_Raffinose,Resp_Sucrose,Resp_Threonine,Resp_Xylose,reads_fungi,obs_richness_fungi,chao1_richness_fungi,obs_shannon_fungi,obs_richness_fungi_ArbuscularMycorrhizal,obs_richness_fungi_Ectomycorrhizal,obs_richness_fungi_PlantPathogen,obs_richness_fungi_WoodSaprotroph,obs_richness_fungi_OrchidMycorrhizal,chao1_richness_fungi_ArbuscularMycorrhizal,chao1_richness_fungi_Ectomycorrhizal,chao1_richness_fungi_PlantPathogen,chao1_richness_fungi_WoodSaprotroph,chao1_richness_fungi_OrchidMycorrhizal,obs_shannon_fungi_ArbuscularMycorrhizal,obs_shannon_fungi_Ectomycorrhizal,obs_shannon_fungi_PlantPathogen,obs_shannon_fungi_WoodSaprotroph,obs_shannon_fungi_OrchidMycorrhizal,relabund_fungi_ArbuscularMycorrhizal,relabund_fungi_Ectomycorrhizal,relabund_fungi_PlantPathogen,relabund_fungi_WoodSaprotroph,relabund_fungi_OrchidMycorrhizal,reads_bacteria,obs_richness_bacteria,chao1_richness_bacteria,obs_shannon_bacteria,obs_richness_bacteria_copiotrophic,obs_richness_bacteria_oligotrophic,chao1_richness_bacteria_copiotrophic,chao1_richness_bacteria_oligotrophic,obs_shannon_bacteria_copiotrophic,obs_shannon_bacteria_oligotrophic,relabund_bacteria_copiotrophic,relabund_bacteria_oligotrophic
58O,58,Wambo,2/04/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,279.7,14,13,3,219,27,3.7,0,0,1.42,1.21,0.88,3.75,0.24,15.75,5.68,79.80,11.25,1.95,3.32,1.46,0.71,0.34,0.17,0.19,0.09,11.8,92.9,18.4,47.9,109.0,17.5,15.9,0.320,0.338,0.387,0.389,0.398,0.401,0.368,0.293,26608,567,792.01,4.46,2,14,22,12,0,3.00,15.00,42.17,18.25,0.00,0.693,1.120,2.143,1.956,0.000,0.000,0.235,0.015,0.005,0.000,70,1875,2944.40,6.70,666,316,995.54,468.06,5.66,4.77,0.42,0.20
58T,58,Wambo,2/04/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,503.6,73,23,0.5,122,114,9.1,162,0.4,2.02,1.90,1.34,5.78,0.33,20.84,5.51,124.80,16.54,3.17,5.13,2.36,1.10,0.38,0.08,0.28,0.06,30.4,239.8,69.3,130.7,281.7,49.3,49.4,0.446,0.429,0.505,0.551,0.550,0.546,0.478,0.349,29272,706,1028.11,4.90,0,33,17,8,2,0.00,37.90,23.00,9.00,3.00,0.000,2.027,2.276,1.317,0.693,0.000,0.299,0.009,0.009,0.000,24478,1464,1703.69,6.61,531,306,613.15,369.28,5.59,5.05,0.42,0.21
61O,61,Mt Thorley Warkworth,3/04/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,201.2,11,57,10,42,81,0.2,0,1.3,1.72,1.45,1.13,4.70,0.22,19.56,5.67,43.10,21.40,3.90,6.71,3.21,1.60,0.60,0.18,0.40,0.08,14.1,125.5,30.2,41.8,168.0,34.9,42.3,0.338,0.546,0.560,0.522,0.551,0.509,0.453,0.391,34222,786,996.84,5.23,4,29,34,10,3,8.50,38.00,52.00,11.50,3.50,1.332,2.256,3.168,1.342,1.011,0.001,0.239,0.012,0.007,0.001,37957,2026,3743.56,6.76,677,371,1226.04,677.07,5.62,5.07,0.37,0.21
61T,61,Mt Thorley Warkworth,3/04/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,319.3,62,16,3,107,85,1.3,45,1.1,2.17,1.67,1.59,6.36,0.24,27.58,5.08,109.60,14.37,2.38,4.86,2.02,0.97,0.42,0.11,0.16,0.08,15.0,147.4,31.1,79.3,157.9,24.6,169.8,0.473,1.025,1.219,1.259,1.086,1.429,0.674,0.530,32647,612,759.28,5.09,1,28,17,10,0,1.00,52.50,23.00,14.50,0.00,0.000,1.982,2.377,1.557,0.000,0.000,0.123,0.007,0.014,0.000,34457,1713,2707.00,6.53,619,271,959.91,395.08,5.40,4.66,0.44,0.17
84O,84,Bulga,14/05/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,158.1,46,8,2,46,54,0.1,2,17.5,1.72,1.19,1.14,4.44,0.29,13.39,6.14,70.90,18.17,2.73,5.71,2.71,1.09,0.80,0.37,0.44,0.13,94.8,436.8,125.3,180.1,421.0,95.0,172.2,0.362,0.704,0.731,0.633,0.995,1.002,0.500,0.362,19185,589,789.55,4.63,2,27,21,12,0,2.00,36.00,41.17,13.13,0.00,0.562,2.147,0.510,1.630,0.000,0.000,0.230,0.059,0.008,0.000,38399,2370,4548.46,7.04,847,499,1549.12,854.59,6.05,5.37,0.41,0.25
84T,84,Bulga,14/05/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,305.2,94,9,1,81,111,0.2,9,6.4,1.96,1.57,1.28,5.36,0.33,16.53,5.97,63.00,14.48,2.59,4.46,2.06,0.96,0.56,0.14,0.33,0.11,52.4,307.6,101.8,106.7,259.0,59.0,78.6,0.321,0.447,0.609,0.568,0.653,0.660,0.409,0.332,22685,583,749.88,4.75,4,31,18,6,0,8.50,40.00,19.60,7.00,0.00,1.332,2.266,2.806,0.176,0.000,0.001,0.243,0.005,0.039,0.000,45538,2242,4416.45,6.92,746,450,1518.58,781.03,5.82,5.21,0.38,0.25
94O,94,Bulga,16/05/2019,REFERENCE,O,3431,Central Hunter Ironbark Grassy Woodland,NA,381.8,124,10,1,104,137,5.8,0,9.4,2.02,1.40,1.26,5.13,0.33,22.71,6.59,70.40,18.89,3.04,5.82,2.53,1.55,0.72,0.13,0.47,0.10,89.6,514.1,126.8,128.2,528.7,123.1,268.4,0.325,0.375,0.397,0.329,0.406,0.418,0.347,0.218,23658,717,912.41,4.92,10,16,26,11,1,12.67,16.00,31.06,15.50,1.00,2.181,1.707,2.573,2.105,0.000,0.002,0.146,0.011,0.005,0.000,43367,2156,3857.84,6.88,752,479,1294.78,759.49,5.89,5.12,0.40,0.28
94T,94,Bulga,16/05/2019,REFERENCE,T,3431,Central Hunter Ironbark Grassy Woodland,NA,559.4,195,7,2,165,159,7.4,24,8.7,2.99,1.94,2.13,7.69,0.47,61.82,7.20,132.90,20.26,3.24,6.49,2.77,1.52,0.54,0.31,0.60,0.07,37.8,195.3,38.1,72.6,131.6,47.7,314.8,0.360,0.341,0.436,0.398,0.483,0.499,0.437,0.337,27184,786,1042.36,5.23,0,26,31,20,1,0.00,32.00,38.20,28.10,1.00,0.000,1.288,1.884,2.606,0.000,0.000,0.086,0.032,0.007,0.000,43653,2167,3762.35,6.93,808,415,1313.03,689.82,5.91,5.05,0.42,0.22
12O,12,Mangoola Mine,7/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2011,37.7,2,2,2,8,23,0.7,0,1,0.98,0.37,0.57,2.06,0.14,24.11,7.45,108.50,13.43,2.15,3.26,2.01,1.04,0.45,0.24,0.29,0.11,40.0,160.3,33.8,48.0,102.8,37.8,18.2,0.342,0.354,0.447,0.510,0.464,0.516,0.446,0.278,33280,451,571.37,4.64,10,1,26,4,0,10.00,1.00,42.00,4.50,0.00,1.208,0.000,2.411,0.788,0.000,0.035,0.000,0.028,0.004,0.000,59979,1941,3195.68,6.75,798,274,1231.23,429.17,5.83,4.68,0.50,0.15
12T,12,Mangoola Mine,7/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2011,303.9,36,16,2,80,157,5.5,7.4,0.6,1.28,0.86,0.72,2.84,0.19,26.47,8.09,217.00,15.93,2.66,3.93,2.24,1.18,0.78,0.29,0.47,0.16,53.0,130.5,28.7,39.3,173.2,33.4,159.4,0.313,0.299,0.393,0.322,0.423,0.403,0.372,0.235,42498,549,695.97,4.61,16,7,31,6,0,26.00,7.17,45.08,6.25,0.00,2.041,1.288,2.189,1.248,0.000,0.014,0.008,0.023,0.005,0.000,50280,2123,3950.74,6.88,897,264,1655.43,410.29,5.98,4.68,0.50,0.14
