Plot_id,Site_id,Treatment,PCT_Number,PCT_Name,Establishment,SSC_Foliage_cov,SSC_Basal_cov,SSC_Litter _cov,SSC_litter_origin,SSC_Litter_inc,SSC_Crypt_CovCode,SSC_brokeness,SSC_Erosion_cov,SSC_Deposited_Cov,SSC_roughness,SSC_Rest_adj,SSC_Stability,SSC_Texture,Stability_ind,Infiltration_ind,Nutrient_ind,NativeP_richness,EG_Rich,EX_Rich,FG_Rich,GG_Rich,HT_Rich,OG_Rich,SG_Rich,TG_Rich,EG_Cov,EX_Cov,FG_Cov,GG_Cov,HT_Cov,OG_Cov,SG_Cov,TG_Cov,OS_Cov_BBAM,MS_Cov_BBAM,GC_Grass_BBAM,GC_Shrub_BBAM,GC_Other_BBAM,Overs_rec,Evid_Fl_Fruit,CWD,Euc_Stems_<5cm,NonEuc_ Stem_<5cm DBH:,Euc_Stem_5-9cm,NonEuc_Stem_5-9cm,Euc_Stem_10-19cm,NonEuc_Stem_10-19cm,Euc_Stem_20-29cm,NonEuc_Stem_20-29cm,Euc_Stem_30-49cm,NonEuc_Stem_30-49cm,Euc_Stem_50-79cm,NonEuc_Stem_50-79cm,Euc_Stem _>80cm,NonEuc_Stem_>80cm,Hollows_50-79cm,Hollows_>80cm,BAM_Comp_Score,BAM_Struct_Score,BAM_Funct_Score,BAM_Veg_Integ_Score,BAM_Litter,SLA_avg,total_nitrogen,total_carbon,B_ppm,Na_ppm,Mg_ppm,P_ppm,K_ppm,Ca43_ppm,Ca44_ppm,Mn_ppm,Fe_ppm,Cu_ppm,Zn66_ppm,Zn67_ppm,Sr_ppm,Mo_ppm,Pb_ppm,ungulate_dung_events_20x20,PA_ungulate_dung_ 50cm_50m,PA_macropod_dung_50cm_50m,PA_rabbit-hare_dung_ 50cm_50m
44,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.5,2.7,5.3,1.3,1.3,1.5,3.8,3.7,2.7,1.6,5.7,2.1,1.9,57.2,41.9,36.4,51,2,2,21,12,3,4,8,4,1.1,2.1,3.5,4.75,0.25,0.5,4.7,27.5,11,5,4,2,6,1,27,22,5,35,8,22,12,16,6,1,0,0,0,0,0,0,0,0,99,28,57,54,90,15.816,1.394,51.340,22.618,1006.501,2161.288,615.664,5446.119,5303.609,5020.370,522.332,162.508,3.308,30.374,24.277,33.918,0.052,0.922,0,0,16,0
54,Wambo,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,2.1,2.1,4.9,1.4,1.7,1.7,4.0,3.9,3.0,2.2,6.0,2.7,2.0,60.8,47.6,42.0,45,2,2,25,17,1,3,9,5,2.1,0.25,3.3,14.15,0.05,0.9,1.05,9.2,21.4,2,16,0,10,1,32,22,1,8,3,0,2,0,1,0,4,0,3,0,0,0,0,0,97,10,59,39,76,13.389,1.313,52.321,13.384,1070.799,2566.024,622.345,6823.228,7105.699,6973.105,300.147,67.809,3.784,40.547,29.870,73.655,0.044,0.247,0,0,34,0
58,Wambo,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,2.4,2.2,5.8,1.5,1.7,1.0,4.0,4.0,4.0,1.6,4.0,3.0,2.0,67.4,47.8,44.8,61,2,3,15,10,1,2,5,6,3.1,0.4,4.9,9,0.1,0.3,5.4,18.6,28.5,7,14,0,18,1,21,4,6,55,6,15,2,11,3,0,2,0,1,0,0,0,0,0,89,20,45,44,85,8.176,1.162,51.063,20.811,1341.007,2207.841,762.425,3510.893,5067.892,4897.289,709.015,103.562,2.691,16.515,13.268,28.717,0.040,0.613,0,0,10,0
61,Mt Thorley Warkworth,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.7,2.1,4.6,1.5,1.5,2.5,4.0,3.9,4.0,2.0,4.4,3.0,2.0,66.1,43.1,40.9,40,2,8,20,14,4,2,7,3,4.4,1.8,3.2,12.3,0.7,0.3,3.2,21.1,1.5,6.2,8,0,20,1,31,2,15,11,2,0,0,1,6,0,0,0,0,0,1,0,0,1,91,21,54,47,58,16.582,1.735,52.480,20.701,1777.753,2292.513,1051.171,5424.457,3449.387,3456.740,270.725,98.072,3.794,17.870,13.823,17.895,0.027,0.588,0,0,14,1
84,Bulga,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,1.6,2.4,4.6,1.1,1.4,1.6,4.0,3.7,1.9,2.1,2.9,4.0,2.0,61.7,36.8,31.9,49,2,5,23,18,2,2,4,2,0.2,0.5,3.8,9.2,2.1,0.4,2.4,40.1,27,0,18,0,8,1,29,3,75,0,100,1,19,0,1,0,0,0,1,0,0,0,0,0,80,38,44,51,70,18.906,1.334,50.775,26.774,1025.658,2446.027,513.708,4010.475,6289.138,6192.967,483.809,47.797,3.771,19.506,16.327,25.350,0.013,0.172,0,0,46,1
94,Bulga,Reference,3431,Central Hunter Ironbark Grassy Woodland,NA,2.0,2.2,4.8,1.3,1.3,1.0,4.0,3.8,3.0,1.7,4.2,4.0,2.0,63.3,41.9,34.1,49,0,8,25,15,2,2,5,2,0,0.9,4.4,22.6,0.2,0.3,2.6,30.1,32.5,0,8,0,16,1,35,17,13,2,26,0,17,0,0,0,3,0,3,0,0,0,0,0,79,44,53,57,81,14.986,1.283,51.094,22.714,3184.410,2628.051,756.093,7015.415,7898.636,7808.668,303.391,71.661,4.765,28.309,22.130,46.411,0.023,0.052,0,0,33,0
12,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,1.7,1.7,3.2,0.8,0.9,1.0,3.5,3.3,2.6,1.9,7.3,3.0,2.0,51.2,35.3,20.6,20,0,4,7,6,1,0,4,3,0,0.3,6.4,0.7,0.2,0,5.3,6,15.5,0,6,22,4,1,11,15.5,15,0,27,28,15,0,0,0,0,0,0,0,0,0,0,0,50,9,46,27,37,33.165,2.181,52.843,21.065,772.274,6240.250,1207.576,8915.355,8429.022,8392.758,181.098,104.313,3.744,28.491,22.174,71.322,2.193,0.102,0,1,22,0
20,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,1.7,1.5,4.1,0.8,1.0,1.0,2.7,3.4,2.3,3.2,5.3,2.8,2.0,52.4,36.0,26.6,26,1,4,6,9,1,1,6,3,0.05,0.35,0.6,0.9,0.3,0.05,11.3,32.1,2,3.9,4,4,0,0,14,19,4,20,25,35,9,1,0,0,0,0,0,0,0,0,0,0,63,37,49,49,28,10.659,1.338,48.784,38.283,471.608,4419.088,574.655,6556.697,28506.615,28513.313,1544.450,112.742,2.025,43.334,30.613,196.885,0.136,0.567,5,1,20,0
21,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,1.4,1.7,3.1,0.9,1.0,1.0,1.6,3.6,2.4,2.9,7.0,2.4,2.0,46.0,35.3,22.6,31,0,4,8,9,3,1,8,5,0,1.25,5.95,7.35,0.65,0.05,15.2,13.5,3,12.7,20,0,12,0,13,10,25,35,20,5,0,0,0,0,0,0,0,0,0,0,0,0,73,24,35,39,48,10.707,1.498,51.561,25.104,83.542,4619.751,505.189,6578.093,10046.106,9957.124,451.314,110.803,3.125,21.932,17.605,65.435,0.086,0.161,2,2,32,0
29,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,1.8,2.0,3.0,1.2,1.0,1.0,4.0,3.4,2.5,3.2,3.7,3.0,2.0,54.0,34.1,27.4,34,0,11,9,9,2,2,9,5,0,0.95,1.25,9.25,0.4,0.2,20.95,8.6,0.2,15.6,30,2,6,0,18,7,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,16,31,34,40,20.394,1.604,50.483,20.693,187.956,3063.328,396.587,7338.473,12556.843,13520.062,57.902,121.325,3.301,8.623,6.764,155.592,0.308,0.368,9,0,28,0
