Sample_id,Plot_id,Site_id,Survey_Date,Treatment,Subplot,Patch,PCT_Number,PCT_Name,Esstablishment,Dbh_cm,Tree sp.,dist_Tree_m,Foliage_Cover_<0.5,Logs_<0.5,Litter_<0.5,Compost,Cryptogam,Rock,Bare soil,Shrub_>0.5,Tree>0.5,Other,
37DT,37,Mangoola Mine,15/03/2019,Reference,D,T,3431,Central Hunter Ironbark Grassy Woodland,NA,13,Allocasurina,,0,0,95,0,0,0,5,0,70,0,
38AO,38,Mangoola Mine,15/03/2019,Reference,A,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2,5,0,75,0,0,0,20,0,0,0,
38AT,38,Mangoola Mine,15/03/2019,Reference,A,T,3431,Central Hunter Ironbark Grassy Woodland,NA,7,Allocasurina,,1,0,4,0,0,0,95,0,10,0,
38BO,38,Mangoola Mine,15/03/2019,Reference,B,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,1,2,0,60,0,0,0,38,0,0,0,
38BT,38,Mangoola Mine,15/03/2019,Reference,B,T,3431,Central Hunter Ironbark Grassy Woodland,NA,7,E.crebra,,0,0,90,0,0,0,10,0,20,0,
38CO,38,Mangoola Mine,15/03/2019,Reference,C,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2,0,0,10,0,0,0,90,0,0,0,
38CT,38,Mangoola Mine,15/03/2019,Reference,C,T,3431,Central Hunter Ironbark Grassy Woodland,NA,10,Allocasurina,,0,0,90,0,0,0,10,0,60,0,
38DO,38,Mangoola Mine,15/03/2019,Reference,D,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,1.5,0,0,50,0,0,6,44,0,0,0,
38DT,38,Mangoola Mine,15/03/2019,Reference,D,T,3431,Central Hunter Ironbark Grassy Woodland,NA,7,Allocasurina,,0,0,60,0,0,0,40,0,60,0,
39AO,39,Mangoola Mine,15/03/2019,Reference,A,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,3,0,0,90,0,0,0,10,0,40,0,
39AT,39,Mangoola Mine,15/03/2019,Reference,A,T,3431,Central Hunter Ironbark Grassy Woodland,NA,11,E.moluccana,,0,0,100,0,0,0,0,0,50,0,
39BO,39,Mangoola Mine,15/03/2019,Reference,B,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,1.5,0,0,100,0,0,0,0,0,10,0,
39BT,39,Mangoola Mine,15/03/2019,Reference,B,T,3431,Central Hunter Ironbark Grassy Woodland,NA,26,E.moluccana,,5,0,85,0,0,0,10,0,10,0,
